run_id,bosd:ari,clustream:ari,dbstream:ari,emc:ari,emc:ari_s,epstm_icp:ari,epstm_tcp:ari,hmm:ari
OK→07,0.76,0.01,0.00,0.97,0.99,0.73,1.00,0.00
OK→14,0.26,0.09,0.00,0.96,0.97,0.73,1.00,0.00
OK→21,0.70,0.01,0.00,0.96,0.98,0.91,1.00,0.00
OK→28,0.97,0.18,0.34,0.85,0.86,0.85,1.00,0.00
OK→07→14,0.35,0.01,0.00,0.93,0.95,0.96,1.00,0.11
OK→14→21,0.40,0.14,0.00,0.93,0.94,0.96,1.00,0.19
OK→21→28,0.53,0.01,0.15,0.84,0.85,0.96,1.00,0.38
Mean,0.57,0.06,0.07,0.92,0.94,0.87,1.00,0.10
Std. Dev.,0.31,0.13,0.17,0.06,0.06,0.11,0.00,0.13
